,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
2137,/organization/cellzdirect,CellzDirect,|Biotechnology|,Biotechnology,USA,NC,Raleigh,Durham,/organization/invitrogen,Invitrogen,|Biotechnology|,Biotechnology,USA,CA,San Diego,Carlsbad,2008-01-10,2008-01,2008-Q1,2008.0,57000000,USD
2147,/organization/centennial-communications-corp,Centennial Communications Corp,|Mobile|,Mobile,USA,IN,Fort Wayne,Fort Wayne,/organization/at-t,AT&T,|Mobile|,Mobile,USA,TX,Dallas,Dallas,2009-11-06,2009-11,2009-Q4,2009.0,944000000,USD
2150,/organization/centerbeam-inc,"Centerbeam, Inc.",|Outsourcing|SaaS|Cloud Computing|Information Technology|,Outsourcing,USA,CA,SF Bay Area,Sunnyvale,/organization/earthlink,EarthLink,|Curated Web|,Curated Web,USA,GA,Atlanta,Atlanta,2013-06-17,2013-06,2013-Q2,2013.0,22000000,USD
2151,/organization/centerre-healthcare-corporation,Centerre Healthcare Corporation,|Medical|Hospitals|Health Care|,Hospitals,USA,TN,Nashville,Brentwood,/organization/kindred-healthcare,Kindred Healthcare,|Health and Wellness|,Health and Wellness,USA,KY,Louisville,Louisville,2014-11-12,2014-11,2014-Q4,2014.0,195000000,USD
2152,/organization/centillium-communications,Centillium Communications,|Semiconductors|,Semiconductors,USA,CA,SF Bay Area,Fremont,/organization/transwitch,TranSwitch,|Semiconductors|,Semiconductors,USA,CT,Hartford,Shelton,2008-07-09,2008-07,2008-Q3,2008.0,24750000,USD
2170,/organization/ception-therapeutics,Ception Therapeutics,|Biotechnology|,Biotechnology,USA,PA,Philadelphia,Malvern,/organization/cephalon,Cephalon,|Biotechnology|,Biotechnology,USA,PA,Philadelphia,Malvern,2010-02-23,2010-02,2010-Q1,2010.0,250000000,USD
2187,/organization/cgi-pharmaceuticals,CGI Pharmaceuticals,|Biotechnology|,Biotechnology,USA,CT,Hartford,Branford,/organization/gilead-sciences,Gilead Sciences,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Foster City,2010-06-25,2010-06,2010-Q2,2010.0,120000000,USD
2189,/organization/chailabs,Chai Labs,|Software|,Software,USA,CA,SF Bay Area,Mountain View,/organization/facebook,Facebook,|Communities|Identity|All Students|Colleges|Facebook Applications|Social Media|,Communities,USA,CA,SF Bay Area,Menlo Park,2010-08-15,2010-08,2010-Q3,2010.0,10000000,USD
2193,/organization/chalkable,Chalkable,|Software|Teachers|High Schools|Charter Schools|Education|,Education,USA,NY,New York City,New York,/organization/software-technology,Software Technology,|Consulting|,Consulting,USA,AL,Mobile,Mobile,2013-12-09,2013-12,2013-Q4,2013.0,10000000,USD
2194,/organization/challenge-games,Challenge Games,|MMO Games|Game|Online Gaming|FreetoPlay Gaming|Sports|Fantasy Sports|Social Network Media|Social Games|Games|,MMO Games,USA,TX,Austin,Austin,/organization/zynga,Zynga,|Technology|Facebook Applications|Networking|Games|,Technology,USA,CA,SF Bay Area,San Francisco,2010-06-03,2010-06,2010-Q2,2010.0,20500000,USD
2195,/organization/change-healthcare,Change Healthcare,|Healthcare Services|Hospitals|Education|Health Care|,Hospitals,USA,TN,Nashville,Brentwood,/organization/emdeon,Emdeon,|Payments|Enterprise Software|,Payments,USA,TN,Nashville,Nashville,2014-11-19,2014-11,2014-Q4,2014.0,135000000,USD
2202,/organization/channel-intelligence,Channel Intelligence,|Curated Web|,Curated Web,USA,FL,Orlando,Orlando,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Software,USA,CA,SF Bay Area,Mountain View,2013-02-06,2013-02,2013-Q1,2013.0,125000000,USD
2204,/organization/channelinx,ChanneLinx,|Enterprise Software|,Enterprise Software,USA,SC,Greenville - Spartanburg,Greenville,/organization/pervasive-software,Pervasive Software,|Software|,Software,USA,TX,Austin,Austin,2009-08-03,2009-08,2009-Q3,2009.0,2600000,USD
2205,/organization/chantest,Chantest,|Health and Wellness|Pharmaceuticals|Biotechnology|,Health and Wellness,USA,OH,Cleveland,Cleveland,/organization/charles-river-laboratories-international,Charles River Laboratories International,|Biotechnology|,Biotechnology,USA,MA,Boston,Wilmington,2014-10-30,2014-10,2014-Q4,2014.0,54000000,USD
2213,/organization/chatham-therapeutics,Chatham Therapeutics,|Life Sciences|Medical|Biotechnology|,Biotechnology,USA,NC,Raleigh,Chapel Hill,/organization/baxter-international,Baxter International,|Medical|Biotechnology|,Medical,USA,IL,Chicago,Deerfield,2014-04-02,2014-04,2014-Q2,2014.0,70000000,USD
2217,/organization/pageonce,Check,|Sports|Mobile|,Sports,USA,CA,SF Bay Area,Palo Alto,/organization/intuit,Intuit,|Computers|Software|,Computers,USA,CA,SF Bay Area,Mountain View,2014-05-27,2014-05,2014-Q2,2014.0,360000000,USD
2232,/organization/chemsw,ChemSW,|Biotechnology|,Biotechnology,USA,AR,Little Rock,Fairfield Bay,/organization/accelrys,Accelrys,|Software|,Software,USA,CA,San Diego,San Diego,2013-09-04,2013-09,2013-Q3,2013.0,17300000,USD
2242,/organization/chil-semiconductor,CHiL Semiconductor,|Semiconductors|,Semiconductors,USA,CA,Los Angeles,El Segundo,/organization/international-rectifier,International Rectifier,|Semiconductors|,Semiconductors,USA,CA,Los Angeles,El Segundo,2011-02-28,2011-02,2011-Q1,2011.0,75000000,USD
2252,/organization/chintano,Chintano,|Advertising|,Advertising,USA,WA,Seattle,Seattle,/organization/datranmedia,Datran Media,|Advertising|,Advertising,USA,NY,New York City,New York,2007-08-01,2007-08,2007-Q3,2007.0,30000000,USD
2266,/organization/choicepay,ChoicePay,|Enterprise Software|,Enterprise Software,USA,OK,Tulsa,Tulsa,/organization/tier-technologies,Tier Technologies,|Enterprise Software|,Enterprise Software,USA,VA,"Washington, D.C.",Reston,2009-02-03,2009-02,2009-Q1,2009.0,7500000,USD
2272,/organization/chordiant-software,Chordiant Software,|Software|,Software,USA,MA,Boston,Cambridge,/organization/pegasystems,Pegasystems,|CRM|Business Development|Software|,Software,USA,MA,Boston,Cambridge,2010-03-15,2010-03,2010-Q1,2010.0,161500000,USD
2288,/organization/cie-games,Cie Games,|Games|,Games,USA,CA,"Orange County, California",Long Beach,/organization/glu-mobile,Glu Mobile,|Technology|Mobile|,Technology,USA,CA,SF Bay Area,San Francisco,2014-07-30,2014-07,2014-Q3,2014.0,100000000,USD
2307,/organization/circulite,CircuLite,|Health Care|,Health Care,USA,NJ,Newark,Teaneck,/organization/heartware-international,HeartWare International,|Hardware + Software|,Hardware + Software,USA,MA,Boston,Framingham,2013-12-02,2013-12,2013-Q4,2013.0,30000000,USD
2314,/organization/citistorage,CitiStorage,|Storage|Information Services|Information Technology|,Storage,USA,NY,New York City,Brooklyn,/organization/recall,Recall,|Information Security|Business Services|Information Services|,Business Services,USA,GA,Atlanta,Norcross,2014-05-06,2014-05,2014-Q2,2014.0,47200000,USD
2321,/organization/citrus-lane,Citrus Lane,|Subscription Businesses|Kids|E-Commerce|,Subscription Businesses,USA,CA,SF Bay Area,Mountain View,/organization/care-com,Care.com,|Customer Service|Tutoring|Curated Web|,Customer Service,USA,MA,Boston,Waltham,2014-07-18,2014-07,2014-Q3,2014.0,48600000,USD
2337,/organization/civitas-therapeutics,Civitas Therapeutics,|Biotechnology|,Biotechnology,USA,MA,Boston,Chelsea,/organization/acorda-therapeutics,Acorda Therapeutics,|Health Care|Biotechnology|,Health Care,USA,NY,New York City,Hawthorne,2014-09-24,2014-09,2014-Q3,2014.0,525000000,USD
2345,/organization/clara,CLARA,|Artificial Intelligence|Games|Analytics|Consulting|,Artificial Intelligence,USA,CA,SF Bay Area,San Francisco,/organization/jive-software,Jive Software,|Technology|Web Tools|Web Development|Social Media|Software|,Technology,USA,CA,SF Bay Area,Palo Alto,2013-04-18,2013-04,2013-Q2,2013.0,10000,USD
2357,/organization/classic-graphics,Classic Graphics,|Advertising|,Advertising,USA,NC,Charlotte,Charlotte,/organization/imagine,Imagine!,|Advertising|,Advertising,USA,MN,Minneapolis,Minneapolis,2013-12-02,2013-12,2013-Q4,2013.0,280000000,USD
2362,/organization/clayton-holdings,Clayton Holdings,|Finance|,Finance,USA,CT,Hartford,Shelton,/organization/radian-group,Radian Group,|Financial Services|,Financial Services,USA,PA,Philadelphia,Philadelphia,2014-05-07,2014-05,2014-Q2,2014.0,305000000,USD
2389,/organization/clearwell-systems,Clearwell Systems,|Ediscovery|Enterprise Software|,Ediscovery,USA,CA,SF Bay Area,Mountain View,/organization/symantec,Symantec,|Security|,Security,USA,CA,SF Bay Area,Mountain View,2011-07-11,2011-07,2011-Q3,2011.0,410000000,USD
2419,/organization/clipboard,Clipboard,|Social Media|Social Bookmarking|Curated Web|,Social Bookmarking,USA,WA,Seattle,Bellevue,/organization/salesforce,Salesforce,|Software|Hardware + Software|Enterprises|Cloud Computing|,Software,USA,CA,SF Bay Area,San Francisco,2013-05-09,2013-05,2013-Q2,2013.0,12000000,USD
2455,/organization/cloupia,Cloupia,|Cloud Management|Cloud Computing|Enterprise Software|,Cloud Management,USA,CA,SF Bay Area,Santa Clara,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Software,USA,CA,SF Bay Area,San Jose,2012-11-15,2012-11,2012-Q4,2012.0,125000000,USD
2457,/organization/cloverleaf-communications,Cloverleaf Communications,|Public Relations|,Public Relations,USA,NY,Long Island,Woodbury,/organization/dot-hill-systems,Dot Hill Systems,|Software|,Software,USA,CO,Denver,Longmont,2010-01-06,2010-01,2010-Q1,2010.0,12000000,USD
2460,/organization/clubpenguin,Club Penguin,|Kids|Virtual Worlds|Games|,Kids,CAN,BC,Kelowna,Kelowna,/organization/the-walt-disney-company,The Walt Disney Company,|Entertainment|Media|Games|,Games,USA,CA,Los Angeles,Burbank,2007-08-01,2007-08,2007-Q3,2007.0,350000000,USD
2462,/organization/clusty,Clusty,|Curated Web|,Curated Web,USA,PA,Pittsburgh,Pittsburgh,/organization/yippy,Yippy,|Search|,Search,USA,FL,Fort Myers,Fort Myers,2010-05-17,2010-05,2010-Q2,2010.0,5600000,USD
2466,/organization/cmac,CMAC,|Consulting|,Consulting,USA,GA,Atlanta,Alpharetta,/organization/decisionpoint-systems,DecisionPoint Systems,|Software|,Software,USA,CA,"Orange County, California",Foothill Ranch,2011-01-03,2011-01,2011-Q1,2011.0,3150000,USD
2469,/organization/cml-healthcare,CML HealthCare,|Biotechnology|,Biotechnology,CAN,ON,Toronto,Mississauga,/organization/lifelabs,LifeLabs,|Biotechnology|,Biotechnology,CAN,ON,Toronto,Toronto,2013-07-01,2013-07,2013-Q3,2013.0,1200000000,USD
2474,/organization/cnetnetworks,CNET Networks,|Media|Blogging Platforms|News|Reviews and Recommendations|Curated Web|,News,USA,CA,SF Bay Area,San Francisco,/organization/cbs,CBS,|Television|Music|Broadcasting|News|,News,USA,NY,New York City,New York,2008-05-15,2008-05,2008-Q2,2008.0,1800000000,USD
2501,/organization/codegear,Codegear,|Software|,Software,USA,CA,SF Bay Area,San Francisco,/organization/embarcadero-technologies,Embarcadero Technologies,|Software|,Software,USA,CA,SF Bay Area,San Francisco,2008-05-02,2008-05,2008-Q2,2008.0,20700000,USD
2521,/organization/cognigen,Cognigen,|Pharmaceuticals|Biotechnology|,Biotechnology,USA,NY,Buffalo,Buffalo,/organization/simulations-plus,Simulations Plus,|Software|,Software,USA,CA,Los Angeles,Lancaster,2014-07-24,2014-07,2014-Q3,2014.0,7000000,USD
2529,/organization/cognovision,CognoVision,|Advertising|Digital Signage|Software|,Digital Signage,CAN,ON,Toronto,Markham,/organization/intel,Intel,|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Santa Clara,2010-11-15,2010-11,2010-Q4,2010.0,25000000,USD
2532,/organization/coldspark,ColdSpark,|Enterprise Software|,Enterprise Software,USA,CO,Denver,Broomfield,/organization/bakbone-software,Bakbone Software,|Security|,Security,USA,CA,Anaheim,Aliso Viejo,2009-05-11,2009-05,2009-Q2,2009.0,15900000,USD
2533,/organization/cole-capital,Cole Capital,|Financial Services|Real Estate Investors|Real Estate|,Real Estate Investors,USA,AZ,Phoenix,Phoenix,/organization/american-realty-capital,American Realty Capital,|Real Estate|,Real Estate,USA,NY,New York City,New York,2013-10-23,2013-10,2013-Q4,2013.0,6850000000,USD
2534,/organization/cole-capital,Cole Capital,|Financial Services|Real Estate Investors|Real Estate|,Real Estate Investors,USA,AZ,Phoenix,Phoenix,/organization/rcs-capital,RCS Capital,|Finance|,Finance,USA,NY,New York City,New York,2014-10-01,2014-10,2014-Q4,2014.0,700000000,USD
2537,/organization/coleman-cable,Coleman Cable,|Electronics|Manufacturing|,Electronics,USA,IL,Chicago,Waukegan,/organization/southwire-company,Southwire Company,|Manufacturing|,Manufacturing,USA,GA,Atlanta,Carrollton,2013-12-20,2013-12,2013-Q4,2013.0,786000000,USD
2556,/organization/colonial-bank-fsb,Colonial Financial Services,|Financial Services|Finance|Banking|,Finance,USA,NJ,NJ - Other,Vineland,/organization/cape-bancorp,Cape Bancorp,|Finance|,Finance,USA,NJ,Atlantic City,Cape May Court House,2014-09-10,2014-09,2014-Q3,2014.0,55000000,USD
2557,/organization/color-labs,Color Labs Inc.,|Proximity Internet|Location Based Services|Local|Photography|Photo Sharing|Mobile Social|Mobile|Networking|,Proximity Internet,USA,CA,SF Bay Area,Palo Alto,/organization/apple,Apple,|Computers|Consumer Electronics|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Cupertino,2012-11-12,2012-11,2012-Q4,2012.0,7000000,USD
2573,/organization/combinenet,CombineNet,|Enterprise Software|,Enterprise Software,USA,PA,Pittsburgh,Pittsburgh,/organization/sciquest,SciQuest,|Software|,Software,USA,NC,Raleigh,Cary,2013-09-03,2013-09,2013-Q3,2013.0,43000000,USD
2607,/organization/compellent-technologies,Compellent Technologies,|Data Security|Software|,Data Security,USA,MN,Minneapolis,Eden Prairie,/organization/dell,Dell,|Hardware + Software|,Hardware + Software,USA,TX,Austin,Round Rock,2010-12-13,2010-12,2010-Q4,2010.0,820000000,USD
2612,/organization/compilr,Compilr,|Software|Curated Web|,Software,CAN,NS,Halifax,Halifax,/organization/lynda-com,lynda.com,|Education|,Education,USA,CA,Santa Barbara,Carpinteria,2014-04-07,2014-04,2014-Q2,2014.0,20000000,USD
2622,/organization/composite-software-inc,Composite Software,|Web CMS|Content|Software|,Web CMS,USA,CA,SF Bay Area,San Mateo,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Software,USA,CA,SF Bay Area,San Jose,2013-06-20,2013-06,2013-Q2,2013.0,180000000,USD
2630,/organization/computer-pro,Computer Pro,|Public Relations|,Public Relations,USA,MN,Duluth,Duluth,/organization/hickory-tech,Hickory Tech,|Public Relations|,Public Relations,USA,MN,"Rochester, Minnesota",Mankato,2009-08-03,2009-08,2009-Q3,2009.0,7000000,USD
2639,/organization/compuware,Compuware,|Enterprise Software|Information Technology|Testing|Consulting|Services|Software|,Enterprise Software,USA,MI,Detroit,Detroit,/organization/thoma-bravo,Thoma Bravo,|Application Performance Monitoring|Cyber Security|Software|Enterprise Software|,Cyber Security,USA,IL,Chicago,Chicago,2014-09-02,2014-09,2014-Q3,2014.0,2500000000,USD
2650,/organization/concentra-managed-care,Concentra Managed Care,|Hospitality|Therapeutics|Medical|Health and Wellness|,Hospitality,USA,TX,Dallas,Addison,/organization/humana,Humana,|Business Services|Insurance|Health and Wellness|,Business Services,USA,KY,Louisville,Louisville,2011-01-01,2011-01,2011-Q1,2011.0,790000000,USD
2654,/organization/concept-io,Concept.io,|Content Discovery|Personalization|Machine Learning|Mobile|,Personalization,USA,CA,SF Bay Area,Mountain View,/organization/apple,Apple,|Computers|Consumer Electronics|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Cupertino,2014-07-28,2014-07,2014-Q3,2014.0,30000000,USD
2663,/organization/concur-technologies,Concur Technologies,|Technology|Cloud Management|Travel|Software|,Travel,USA,WA,Seattle,Redmond,/organization/sap,SAP,|Enterprise Software|,Enterprise Software,USA,PA,Philadelphia,Newtown Square,2014-09-18,2014-09,2014-Q3,2014.0,8300000000,USD
